dataset,parameter_modified,parameter_value1,parameter_value2,total_cost,execution_time,is_feasible,error
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,0.95,1.25,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 0.95, ""parameter_value2"": 1.25, ""total_cost"": 1037.1516858296907, ""execution_time"": 100.31057810783386, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.0,0.75,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.0, ""parameter_value2"": 0.75, ""total_cost"": 1073.0161797415155, ""execution_time"": 229.22424697875977, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.0,0.9,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.0, ""parameter_value2"": 0.9, ""total_cost"": 1067.7020193427343, ""execution_time"": 267.89200472831726, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.0,0.95,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.0, ""parameter_value2"": 0.95, ""total_cost"": 1063.0160311552618, ""execution_time"": 300.0421087741852, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.0,1.0,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.0, ""parameter_value2"": 1.0, ""total_cost"": 1061.9406814175838, ""execution_time"": 293.4813542366028, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.0,1.05,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.0, ""parameter_value2"": 1.05, ""total_cost"": 1061.9405327407464, ""execution_time"": 300.0412039756775, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.0,1.1,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.0, ""parameter_value2"": 1.1, ""total_cost"": 1064.1344791188262, ""execution_time"": 300.024915933609, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.0,1.25,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.0, ""parameter_value2"": 1.25, ""total_cost"": 1037.1516541504716, ""execution_time"": 206.92858290672302, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.05,0.75,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.05, ""parameter_value2"": 0.75, ""total_cost"": 961.712676827425, ""execution_time"": 65.38767004013062, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.05,0.9,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.05, ""parameter_value2"": 0.9, ""total_cost"": 919.2350686685375, ""execution_time"": 49.65456199645996, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
