dataset,parameter_modified,parameter_value1,parameter_value2,total_cost,execution_time,is_feasible,error,dataset_name
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,satellite_capacity,-3.0,0.0,779.0264644032294,6.528248071670532,True,,C202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,satellite_capacity,-1.0,0.0,797.422934833189,10.75326371192932,True,,C202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,satellite_capacity,0.0,0.0,784.5711329333936,9.409099102020264,True,,C202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,satellite_capacity,1.0,0.0,780.0185122380415,7.237286806106567,True,,C202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/C202_C50y.txt,satellite_capacity,3.0,0.0,788.5472172334422,9.594902992248535,True,,C202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.8,0.8,775.2184983985939,17.41602110862732,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.8,0.9,796.8575031019503,13.292447805404665,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.8,1.0,805.7055771451656,11.765911102294922,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.8,1.1,807.2104608924775,11.813180923461914,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.8,1.2,776.0699032841695,8.363970041275024,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.9,0.8,767.0637209137013,11.094514846801758,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.9,0.9,780.4977732600041,10.672744750976562,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.9,1.0,767.063709983733,58.84932994842529,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.9,1.1,777.323960726419,10.043907642364502,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,0.9,1.2,743.6230278855668,7.1849448680877686,True,,R202_C50y.txt
